client_product,iwd_product,article_number,combined_score
BBQ Grillanzünder Holz/ Wachs,"BBQ Grill- und Pfannenkäse verschiedene Sorten, 150g",655809,0.6110000014305115
BBQ Grillanzünder Holz/ Wachs,"BBQ Mini Brioche Burger Buns, 200 g",559478,0.5580000281333923
BBQ Grillanzünder Holz/ Wachs,"GUT DREI EICHEN | GÜLDENHOF Schnitzel-Spezialitäten, verschiedene Sorten, PK",649891,0.5289999842643738
BBQ Grillanzünder Holz/ Wachs,"TESSINER SENFSAUCE Tessiner Senfsaucen Versch. Sorten, 85 ml",606134,0.488999992609024
BBQ Grillanzünder Holz/ Wachs,"VALENSINA Einfach Schorle, Apfel-Zitrone, Apfel-Kirsche, BO",657328,0.4839999973773956
BBQ Mini Brioche Burger Buns,"BBQ Mini Brioche Burger Buns, 200 g",559478,0.9110000133514404
BBQ Mini Brioche Burger Buns,BBQ Brioche Burger Buns Sesam 300 g,467830,0.828000009059906
BBQ Mini Brioche Burger Buns,GOLDÄHREN Brioche Burger Buns Lauge 300 g,545518,0.6769999861717224
BBQ Mini Brioche Burger Buns,"Hofburger Schmelzkäse- Ecken Sahne / Mix, 250 g",202922,0.578000009059906
BBQ Mini Brioche Burger Buns,"FAIR&GUT Burger Sortiment vom Rind, frischer Angus Burger oder Prime Burger, 260g",658528,0.5770000219345093
BBQ Kaminofen- und Grillanzünder Öko-Anzündwolle,"LYTTOS Halloumi Zypriotischer Grill- und Bratkäse, 225g",202962,0.5600000023841858
BBQ Kaminofen- und Grillanzünder Öko-Anzündwolle,"Fußball-Laugenbrötchen Laugengebäck, Stück",187467,0.5239999890327454
BBQ Kaminofen- und Grillanzünder Öko-Anzündwolle,"VALENSINA Einfach Schorle, Apfel-Zitrone, Apfel-Kirsche, BO",657328,0.5170000195503235
BBQ Kaminofen- und Grillanzünder Öko-Anzündwolle,"GUT DREI EICHEN Bacon 100 g, PK",203149,0.5019999742507935
BBQ Kaminofen- und Grillanzünder Öko-Anzündwolle,"GUT DREI EICHEN Wiener Würstchen 1.000 g, PK",203249,0.5009999871253967
BBQ Grill Holzkohle,"BBQ Grill- und Pfannenkäse verschiedene Sorten, 150g",655809,0.5490000247955322
BBQ Grill Holzkohle,"BBQ Mini Brioche Burger Buns, 200 g",559478,0.5389999747276306
BBQ Grill Holzkohle,Obstknoten- beutel,212268,0.4810000061988831
BBQ Grill Holzkohle,"GUT DREI EICHEN Bacon 100 g, PK",203149,0.4709999859333038
BBQ Grill Holzkohle,"Laugenstange, Laugengebäck, Stück",187409,0.4480000138282776
BBQ Grillholzkohle Briketts,"BBQ Mini Brioche Burger Buns, 200 g",559478,0.5649999976158142
BBQ Grillholzkohle Briketts,"BBQ Landbaguette Gartenkräuter oder Paprika, 175 g",211224,0.5370000004768372
BBQ Grillholzkohle Briketts,"Laugenstange, Laugengebäck, Stück",187409,0.5080000162124634
BBQ Grillholzkohle Briketts,BERMONT Bonbon Kräuterli verschiedene Sorten,194088,0.5040000081062317
BBQ Grillholzkohle Briketts,"GUT DREI EICHEN Bacon 100 g, PK",203149,0.4709999859333038
Meine Kuchenwelt Tortenboden,"MEINE KUCHENWELT Tortenböden Rührteigboden, 300g",186844,0.8149999976158142
Meine Kuchenwelt Tortenboden,"MEINE KUCHENWELT Zimtrollen, 300 g",187024,0.7269999980926514
Meine Kuchenwelt Tortenboden,MEINE KUCHENWELT Nussecken 210g,187041,0.6819999814033508
Meine Kuchenwelt Tortenboden,WAGNER Flammkuchen Käse Lauch,191542,0.5870000123977661
Meine Kuchenwelt Tortenboden,"Spitzweck Weizenbrötchen, Stück",263393,0.5460000038146973
Eier aus Freilandhaltung Baden-Württemberg,GARDENLINE Rasensamen für trockene Landschaften,627981,0.6209999918937683
Eier aus Freilandhaltung Baden-Württemberg,"Süßkartoffeln, je kg, Ursprung: USA, KGM",230754,0.5479999780654907
Eier aus Freilandhaltung Baden-Württemberg,FARMER Erdnüsse im Teigmantel Paprika,317272,0.5370000004768372
Eier aus Freilandhaltung Baden-Württemberg,ALMARE SEAFOOD Stremellachs verschiedene Sorten,211359,0.5139999985694885
Eier aus Freilandhaltung Baden-Württemberg,"LANDFREUDE Faden-Nester Suppennudeln mit frischen, Hühnereiern, 500 g",194368,0.5070000290870667
"Landfreude gefärbte Bunte Eier aus Bodenhaltung ""OKT""",LANDFRIEDE Reibekuchen Klassik oder Mini,211209,0.6650000214576721
"Landfreude gefärbte Bunte Eier aus Bodenhaltung ""OKT""","LANDFREUDE Gabelspaghetti, 500g",561142,0.640999972820282
"Landfreude gefärbte Bunte Eier aus Bodenhaltung ""OKT""","LANDFREUDE Maultaschen verschiedene Sorten, 360 g",213410,0.6389999985694885
"Landfreude gefärbte Bunte Eier aus Bodenhaltung ""OKT""","LANDFREUDE Maultaschen, gerollt 510 g",213129,0.628000020980835
"Landfreude gefärbte Bunte Eier aus Bodenhaltung ""OKT""",LANDFREUDE Schwäbische Spätzle 500 g,194067,0.5820000171661377
"Landfreude Bunte Eier aus Bodenhaltung ""OKT""",LANDFRIEDE Reibekuchen Klassik oder Mini,211209,0.6949999928474426
"Landfreude Bunte Eier aus Bodenhaltung ""OKT""","LANDFREUDE Maultaschen verschiedene Sorten, 360 g",213410,0.6480000019073486
"Landfreude Bunte Eier aus Bodenhaltung ""OKT""","LANDFREUDE Gabelspaghetti, 500g",561142,0.6209999918937683
"Landfreude Bunte Eier aus Bodenhaltung ""OKT""",LANDFREUDE Schwäbische Spätzle 500 g,194067,0.6159999966621399
"Landfreude Bunte Eier aus Bodenhaltung ""OKT""",LANDBECK Mini Kabanossi verschiedene Sorten,462869,0.5759999752044678
Landfreude Eier aus Bodenhaltung Ohne Kükentöten,LANDFRIEDE Reibekuchen Klassik oder Mini,211209,0.675000011920929
Landfreude Eier aus Bodenhaltung Ohne Kükentöten,Landbeck Salami-Sortiment verschiedene Sorten,463461,0.6449999809265137
Landfreude Eier aus Bodenhaltung Ohne Kükentöten,LANDBECK Mini Kabanossi verschiedene Sorten,462869,0.6330000162124634
Landfreude Eier aus Bodenhaltung Ohne Kükentöten,"LANDFREUDE Faden-Nester Suppennudeln mit frischen, Hühnereiern, 500 g",194368,0.5630000233650208
Landfreude Eier aus Bodenhaltung Ohne Kükentöten,GARDENLINE Rasensamen für trockene Landschaften,627981,0.5230000019073486
Landfreude Eier aus Bodenhaltung S-L,LANDFRIEDE Reibekuchen Klassik oder Mini,211209,0.7139999866485596
Landfreude Eier aus Bodenhaltung S-L,"LANDFREUDE Gabelspaghetti, 500g",561142,0.6259999871253967
Landfreude Eier aus Bodenhaltung S-L,LANDBECK Mini Kabanossi verschiedene Sorten,462869,0.6209999918937683
Landfreude Eier aus Bodenhaltung S-L,Landbeck Salami-Sortiment verschiedene Sorten,463461,0.6119999885559082
Landfreude Eier aus Bodenhaltung S-L,LANDFREUDE Schwäbische Spätzle 500 g,194067,0.609000027179718
Landfreude Eier aus Freilandhaltung S-L,LANDFRIEDE Reibekuchen Klassik oder Mini,211209,0.6510000228881836
Landfreude Eier aus Freilandhaltung S-L,"LANDFREUDE Gabelspaghetti, 500g",561142,0.5849999785423279
Landfreude Eier aus Freilandhaltung S-L,LANDBECK Mini Kabanossi verschiedene Sorten,462869,0.5680000185966492
Landfreude Eier aus Freilandhaltung S-L,"LANDFREUDE Faden-Nester Suppennudeln mit frischen, Hühnereiern, 500 g",194368,0.5540000200271606
Landfreude Eier aus Freilandhaltung S-L,Landbeck Salami-Sortiment verschiedene Sorten,463461,0.5189999938011169
Bio Eier aus ökologischer Erzeugung,BIO Tortelloni verschiedene Sorten,645969,0.6819999814033508
