client_product,matched_iwd_product
BBQ Grillanzünder Holz/ Wachs,
BBQ Kaminofen- und Grillanzünder Öko-Anzündwolle,
BBQ Grillholzkohle Briketts,
Eier aus Freilandhaltung Baden-Württemberg,
"Landfreude Bunte Eier aus Bodenhaltung ""OKT""",
Landfreude Eier aus Bodenhaltung S-L,
Bio Eier aus ökologischer Erzeugung,
Aldi Mehrweg-Frischenetz,
Farmer Naturals Erdnüsse in Schale,
Naturlieblinge Aprikosen getrocknet,
Naturlieblinge Pfannengemüse-Mix sort.,
Naturlieblinge Salat-Mix sort. Eisberg; Rohkost150-/200g,
Snack Time Sushi-Box sort. 200-/210g,
Wonnemeyer Sushi Maki Mix sort.,
Wonnemeyer Salat Menü Classic Salatmenü mit Dressing sort.,
BBQ Dorade Royal ganz kg-Preis,
BBQ Garnelenspieße mariniert sort.,
Bio Burger vom Rind,"BIO Bio Burger vom Rind, 260 g"
Bio Bratwurst vom Schwein,
BBQ Fair & Gut Bratwurst Merguez Rind-& Lammfleisch,"GUT DREI EICHEN Schinkenfleischwurst 650 g, PK"
Fair & Gut Cevapcici vom Rind,
Gourmet Norwegische Lachsfiletseite mit Haut,
Golden Seafood Lachsforellenfilet mit Haut,
Golden Seafood Kabeljau Rückenfilet,
Meine Metzgerei Hackfleisch gemischt XXL,"MEINE METZGEREI Hackfleisch, gemischt aus Rind- und, Schweinefleisch, 800g"
BBQ Mini Brioche Burger Buns,"BBQ Mini Brioche Burger Buns, 200 g"
Meine Kuchenwelt Tortenboden,"MEINE KUCHENWELT Tortenböden Rührteigboden, 300g"
Landfreude Eier aus Bodenhaltung Ohne Kükentöten,
BBQ Grill Holzkohle,
Landfreude Eier aus Freilandhaltung S-L,
Bio Maronen aus Italien,
Naturlieblinge Datteln getrocknet,
Snack Time Sushi Family,
Wonnemeyer Frische Salatdressing sort.,
Golden Seafood Garnelen-Sortiment sort.,
Fair & Gut Hamburger vom Rind,"FAIR&GUT Hamburger vom Rind, 4x100 g, 400 g"
Fair&Gut Bayerischer Leberkäse vom Schwein,
Golden Seafood Backfisch-Sortiment sort. 280-/300g,
Gut Bio Bio Lachsfilet,
Fair & Gut Hackfleisch gemischt v. Rind u. Schwein,
Fair & Gut Hackfleisch gemischt XXL,
Fair & Gut Hackfleisch Rind,FAIR&GUT Hackfleisch vom Rind
Bio Hackfleisch vom Rind XXL,"BIO Bio Hackfleisch vom Rind, XXL Packung, 800g"
"Landfreude gefärbte Bunte Eier aus Bodenhaltung ""OKT""",
Naturlieblinge Feigen getrocknet,
Snack Time Onigiri sort.,
Fair & Gut Premium Burger Sortiment vom Rind sort.,"FAIR&GUT Burger Sortiment vom Rind, frischer Angus Burger oder Prime Burger, 260g"
Golden Seafood Doradenfilet,"GOLDEN SEAFOOD Doraden, 1000 g + 35 g Gewürzsalz"
Meine Metzgerei Hackfleisch gemischt,"MEINE METZGEREI Hackfleisch gemischt aus Rind- und Schweinefleisch, 500 g"
Bio Rinderhackfleisch,"BIO Bio Hackfleisch vom Rind, XXL Packung, 800g"
Fair & Gut Rinderhackfleisch XXL,FAIR&GUT Hackfleisch XXL vom Rind
Nachhaltige Knotenbeutel vollständig recycelbar,
Daylicious Salatcup Frischer Salat mit Dressing sort.,
Golden Seafood Norwegen Lachsfilet Portionen,
Naturlieblinge Salatvariationen; Family-Mix / Salat-Mix XXL,"NATUR LIEBLINGE Salatvariationen Family-Mix 400g, Ursprung: s. Etikett"
Bio Hackfleisch gemischt,"BIO Bio-Hackfleisch gemischt aus Rind- und Schweinefleisch, 400 g"
Gut Bio Bio Lachsfilet portioniert,
